category,amc,metric,coverage_pct
ELSS,PPFAS,manager_experience,100.0
ELSS,PPFAS,max_dd,100.0
ELSS,PPFAS,pb,100.0
ELSS,PPFAS,pe,100.0
ELSS,PPFAS,return_3m,100.0
ELSS,PPFAS,return_6m,100.0
ELSS,PPFAS,roe,100.0
ELSS,PPFAS,rolling_3y,100.0
ELSS,PPFAS,rolling_5y,100.0
ELSS,PPFAS,sector_hhi,100.0
ELSS,PPFAS,sharpe,100.0
ELSS,PPFAS,sortino,100.0
ELSS,PPFAS,stock_count,100.0
ELSS,PPFAS,ter,100.0
ELSS,PPFAS,top10,100.0
ELSS,PPFAS,top3_sector,100.0
ELSS,PPFAS,turnover,100.0
ELSS,PPFAS,up_beta,100.0
ELSS,PPFAS,volatility,100.0
ELSS,QUANT,aum,100.0
ELSS,QUANT,cagr_1y,100.0
ELSS,QUANT,cagr_3y,100.0
ELSS,QUANT,cagr_5y,100.0
ELSS,QUANT,down_beta,100.0
ELSS,QUANT,iqr_3y,100.0
ELSS,QUANT,iqr_5y,100.0
ELSS,QUANT,ir,100.0
ELSS,QUANT,manager_experience,100.0
ELSS,QUANT,max_dd,100.0
ELSS,QUANT,pb,100.0
ELSS,QUANT,pe,100.0
ELSS,QUANT,return_3m,100.0
ELSS,QUANT,return_6m,100.0
ELSS,QUANT,roe,100.0
ELSS,QUANT,rolling_3y,100.0
ELSS,QUANT,rolling_5y,100.0
ELSS,QUANT,sector_hhi,100.0
ELSS,QUANT,sharpe,100.0
ELSS,QUANT,sortino,100.0
ELSS,QUANT,stock_count,100.0
ELSS,QUANT,ter,100.0
ELSS,QUANT,top10,100.0
ELSS,QUANT,top3_sector,100.0
ELSS,QUANT,turnover,100.0
ELSS,QUANT,up_beta,100.0
ELSS,QUANT,volatility,100.0
ELSS,QUANTUM,aum,100.0
ELSS,QUANTUM,cagr_1y,100.0
ELSS,QUANTUM,cagr_3y,100.0
ELSS,QUANTUM,cagr_5y,100.0
ELSS,QUANTUM,down_beta,100.0
ELSS,QUANTUM,iqr_3y,100.0
ELSS,QUANTUM,iqr_5y,100.0
ELSS,QUANTUM,ir,100.0
ELSS,QUANTUM,manager_experience,100.0
ELSS,QUANTUM,max_dd,100.0
ELSS,QUANTUM,pb,100.0
ELSS,QUANTUM,pe,100.0
ELSS,QUANTUM,return_3m,100.0
ELSS,QUANTUM,return_6m,100.0
ELSS,QUANTUM,roe,100.0
ELSS,QUANTUM,rolling_3y,100.0
ELSS,QUANTUM,rolling_5y,100.0
ELSS,QUANTUM,sector_hhi,100.0
ELSS,QUANTUM,sharpe,100.0
ELSS,QUANTUM,sortino,100.0
ELSS,QUANTUM,stock_count,100.0
ELSS,QUANTUM,ter,100.0
ELSS,QUANTUM,top10,100.0
ELSS,QUANTUM,top3_sector,100.0
ELSS,QUANTUM,turnover,100.0
ELSS,QUANTUM,up_beta,100.0
ELSS,QUANTUM,volatility,100.0
ELSS,SAMCO,aum,100.0
ELSS,SAMCO,cagr_1y,100.0
ELSS,SAMCO,cagr_3y,100.0
