amc,metric,coverage_pct
SAMCO,max_dd,60.0
SAMCO,pb,100.0
SAMCO,pe,100.0
SAMCO,return_3m,60.0
SAMCO,return_6m,60.0
SAMCO,roe,100.0
SAMCO,rolling_3y,0.0
SAMCO,rolling_5y,0.0
SAMCO,sector_hhi,100.0
SAMCO,sharpe,40.0
SAMCO,sortino,40.0
SAMCO,stock_count,100.0
SAMCO,ter,100.0
SAMCO,top10,100.0
SAMCO,top3_sector,100.0
SAMCO,turnover,100.0
SAMCO,up_beta,40.0
SAMCO,volatility,60.0
SBI,aum,100.0
SBI,cagr_1y,100.0
SBI,cagr_3y,100.0
SBI,cagr_5y,88.88888888888889
SBI,down_beta,100.0
SBI,iqr_3y,88.88888888888889
SBI,iqr_5y,88.88888888888889
SBI,ir,100.0
SBI,manager_experience,100.0
SBI,max_dd,100.0
SBI,pb,100.0
SBI,pe,100.0
SBI,return_3m,100.0
SBI,return_6m,100.0
SBI,roe,100.0
SBI,rolling_3y,88.88888888888889
SBI,rolling_5y,88.88888888888889
SBI,sector_hhi,100.0
SBI,sharpe,100.0
SBI,sortino,100.0
SBI,stock_count,100.0
SBI,ter,100.0
SBI,top10,100.0
SBI,top3_sector,100.0
SBI,turnover,100.0
SBI,up_beta,100.0
SBI,volatility,100.0
SUNDARAM,aum,100.0
SUNDARAM,cagr_1y,100.0
SUNDARAM,cagr_3y,100.0
SUNDARAM,cagr_5y,55.55555555555556
SUNDARAM,down_beta,66.66666666666666
SUNDARAM,iqr_3y,55.55555555555556
SUNDARAM,iqr_5y,55.55555555555556
SUNDARAM,ir,66.66666666666666
SUNDARAM,manager_experience,100.0
SUNDARAM,max_dd,100.0
SUNDARAM,pb,100.0
SUNDARAM,pe,100.0
SUNDARAM,return_3m,100.0
SUNDARAM,return_6m,100.0
SUNDARAM,roe,100.0
SUNDARAM,rolling_3y,55.55555555555556
SUNDARAM,rolling_5y,55.55555555555556
SUNDARAM,sector_hhi,100.0
SUNDARAM,sharpe,66.66666666666666
SUNDARAM,sortino,66.66666666666666
SUNDARAM,stock_count,100.0
SUNDARAM,ter,100.0
SUNDARAM,top10,100.0
SUNDARAM,top3_sector,100.0
SUNDARAM,turnover,100.0
SUNDARAM,up_beta,66.66666666666666
SUNDARAM,volatility,100.0
TATA,aum,100.0
TATA,cagr_1y,100.0
TATA,cagr_3y,91.66666666666666
TATA,cagr_5y,91.66666666666666
TATA,down_beta,75.0
TATA,iqr_3y,91.66666666666666
TATA,iqr_5y,91.66666666666666
TATA,ir,75.0
TATA,manager_experience,91.66666666666666
TATA,max_dd,100.0
TATA,pb,100.0
TATA,pe,100.0
TATA,return_3m,100.0
TATA,return_6m,100.0
TATA,roe,100.0
TATA,rolling_3y,91.66666666666666
TATA,rolling_5y,91.66666666666666
TATA,sector_hhi,100.0
TATA,sharpe,75.0
TATA,sortino,75.0
TATA,stock_count,100.0
TATA,ter,100.0
TATA,top10,100.0
TATA,top3_sector,100.0
TATA,turnover,100.0
TATA,up_beta,75.0
TATA,volatility,100.0
TAURUS,aum,100.0
TAURUS,cagr_1y,100.0
TAURUS,cagr_3y,100.0
TAURUS,cagr_5y,100.0
TAURUS,down_beta,100.0
TAURUS,iqr_3y,100.0
TAURUS,iqr_5y,100.0
TAURUS,ir,100.0
TAURUS,manager_experience,100.0
TAURUS,max_dd,100.0
TAURUS,pb,100.0
TAURUS,pe,100.0
TAURUS,return_3m,100.0
TAURUS,return_6m,100.0
TAURUS,roe,100.0
TAURUS,rolling_3y,100.0
TAURUS,rolling_5y,100.0
TAURUS,sector_hhi,100.0
TAURUS,sharpe,100.0
TAURUS,sortino,100.0
TAURUS,stock_count,100.0
TAURUS,ter,100.0
TAURUS,top10,100.0
TAURUS,top3_sector,100.0
TAURUS,turnover,100.0
TAURUS,up_beta,100.0
TAURUS,volatility,100.0
TRUSTMF,aum,100.0
TRUSTMF,cagr_1y,66.66666666666666
TRUSTMF,cagr_3y,0.0
TRUSTMF,cagr_5y,0.0
TRUSTMF,down_beta,0.0
TRUSTMF,iqr_3y,0.0
TRUSTMF,iqr_5y,0.0
TRUSTMF,ir,0.0
TRUSTMF,manager_experience,100.0
TRUSTMF,max_dd,66.66666666666666
TRUSTMF,pb,100.0
TRUSTMF,pe,100.0
TRUSTMF,return_3m,66.66666666666666
TRUSTMF,return_6m,66.66666666666666
TRUSTMF,roe,100.0
TRUSTMF,rolling_3y,0.0
TRUSTMF,rolling_5y,0.0
TRUSTMF,sector_hhi,100.0
TRUSTMF,sharpe,0.0
TRUSTMF,sortino,0.0
TRUSTMF,stock_count,100.0
TRUSTMF,ter,100.0
TRUSTMF,top10,100.0
TRUSTMF,top3_sector,100.0
TRUSTMF,turnover,100.0
TRUSTMF,up_beta,0.0
TRUSTMF,volatility,66.66666666666666
UNIFI,aum,100.0
UNIFI,cagr_1y,0.0
UNIFI,cagr_3y,0.0
UNIFI,cagr_5y,0.0
UNIFI,down_beta,0.0
UNIFI,iqr_3y,0.0
UNIFI,iqr_5y,0.0
UNIFI,ir,0.0
UNIFI,manager_experience,0.0
